Gregorian-Lunar Calendar Conversion Table of 2062 (Ren-wu  -  year of the Horse)
2062/9/5          3                       Tuesday                            
2062/9/6          4                       Wednesday                          
2062/9/7          5                       Thursday       White Dew           
2062/9/8          6                       Friday                             
2062/9/9          7                       Saturday                           
2062/9/10         8                       Sunday                             
2062/9/11         9                       Monday                             
2062/9/12         10                      Tuesday                            
2062/9/13         11                      Wednesday                          
2062/9/14         12                      Thursday                           
2062/9/15         13                      Friday                             
2062/9/16         14                      Saturday                           
2062/9/17         15                      Sunday                             
2062/9/18         16                      Monday                             
2062/9/19         17                      Tuesday                            
2062/9/20         18                      Wednesday                          
2062/9/21         19                      Thursday                           
2062/9/22         20                      Friday                             
2062/9/23         21                      Saturday       Autumnal Equinox    
2062/9/24         22                      Sunday                             
2062/9/25         23                      Monday                             
2062/9/26         24                      Tuesday                            
2062/9/27         25                      Wednesday                          
2062/9/28         26                      Thursday                           
2062/9/29         27                      Friday                             
2062/9/30         28                      Saturday                           
2062/10/1         29                      Sunday                             
2062/10/2         30                      Monday                             
2062/10/3         9th Lunar Month         Tuesday                            
2062/10/4         2                       Wednesday                          
2062/10/5         3                       Thursday                           
2062/10/6         4                       Friday                             
2062/10/7         5                       Saturday                           
2062/10/8         6                       Sunday         Cold Dew            
2062/10/9         7                       Monday                             
2062/10/10        8                       Tuesday                            
2062/10/11        9                       Wednesday                          
2062/10/12        10                      Thursday                           
2062/10/13        11                      Friday                             
2062/10/14        12                      Saturday                           
2062/10/15        13                      Sunday                             
2062/10/16        14                      Monday                             
2062/10/17        15                      Tuesday                            
2062/10/18        16                      Wednesday                          
2062/10/19        17                      Thursday                           
2062/10/20        18                      Friday                             
2062/10/21        19                      Saturday                           
2062/10/22        20                      Sunday                             
2062/10/23        21                      Monday         Frost               
2062/10/24        22                      Tuesday                            
2062/10/25        23                      Wednesday                          
2062/10/26        24                      Thursday                           
2062/10/27        25                      Friday                             
2062/10/28        26                      Saturday                           
2062/10/29        27                      Sunday                             
2062/10/30        28                      Monday                             
2062/10/31        29                      Tuesday                            
2062/11/1         10th Lunar Month        Wednesday                          
2062/11/2         2                       Thursday                           
2062/11/3         3                       Friday                             
2062/11/4         4                       Saturday                           
2062/11/5         5                       Sunday                             
2062/11/6         6                       Monday                             
2062/11/7         7                       Tuesday        Winter Commences    
2062/11/8         8                       Wednesday                          
2062/11/9         9                       Thursday                           
2062/11/10        10                      Friday                             
2062/11/11        11                      Saturday                           
2062/11/12        12                      Sunday                             
2062/11/13        13                      Monday                             
2062/11/14        14                      Tuesday                            
2062/11/15        15                      Wednesday                          
2062/11/16        16                      Thursday                           
2062/11/17        17                      Friday                             
2062/11/18        18                      Saturday                           
2062/11/19        19                      Sunday                             
2062/11/20        20                      Monday                             
2062/11/21        21                      Tuesday                            
2062/11/22        22                      Wednesday      Light Snow          
2062/11/23        23                      Thursday                           
2062/11/24        24                      Friday                             
2062/11/25        25                      Saturday                           
2062/11/26        26                      Sunday                             
2062/11/27        27                      Monday                             
2062/11/28        28                      Tuesday                            
2062/11/29        29                      Wednesday                          
2062/11/30        30                      Thursday                           
2062/12/1         11th Lunar Month        Friday                             
2062/12/2         2                       Saturday                           
2062/12/3         3                       Sunday                             
2062/12/4         4                       Monday                             
2062/12/5         5                       Tuesday                            
2062/12/6         6                       Wednesday                          
2062/12/7         7                       Thursday       Heavy Snow          
2062/12/8         8                       Friday                             
2062/12/9         9                       Saturday                           
2062/12/10        10                      Sunday                             
2062/12/11        11                      Monday                             
2062/12/12        12                      Tuesday                            
2062/12/13        13                      Wednesday                          
2062/12/14        14                      Thursday                           
2062/12/15        15                      Friday                             
2062/12/16        16                      Saturday                           
2062/12/17        17                      Sunday                             
2062/12/18        18                      Monday                             
2062/12/19        19                      Tuesday                            
2062/12/20        20                      Wednesday                          
2062/12/21        21                      Thursday       Winter Solstice     
2062/12/22        22                      Friday                             
2062/12/23        23                      Saturday                           
2062/12/24        24                      Sunday                             
2062/12/25        25                      Monday                             
2062/12/26        26                      Tuesday                            
2062/12/27        27                      Wednesday                          
2062/12/28        28                      Thursday                           
2062/12/29        29                      Friday                             
2062/12/30        30                      Saturday                           
2062/12/31        12th Lunar Month        Sunday                             
