Gregorian-Lunar Calendar Conversion Table of 2094 (Jia-yin  -  year of the Tiger)
2094/7/17         6                       Saturday                           
2094/7/18         7                       Sunday                             
2094/7/19         8                       Monday                             
2094/7/20         9                       Tuesday                            
2094/7/21         10                      Wednesday                          
2094/7/22         11                      Thursday       Great Heat          
2094/7/23         12                      Friday                             
2094/7/24         13                      Saturday                           
2094/7/25         14                      Sunday                             
2094/7/26         15                      Monday                             
2094/7/27         16                      Tuesday                            
2094/7/28         17                      Wednesday                          
2094/7/29         18                      Thursday                           
2094/7/30         19                      Friday                             
2094/7/31         20                      Saturday                           
2094/8/1          21                      Sunday                             
2094/8/2          22                      Monday                             
2094/8/3          23                      Tuesday                            
2094/8/4          24                      Wednesday                          
2094/8/5          25                      Thursday                           
2094/8/6          26                      Friday                             
2094/8/7          27                      Saturday       Autumn Commences    
2094/8/8          28                      Sunday                             
2094/8/9          29                      Monday                             
2094/8/10         30                      Tuesday                            
2094/8/11         7th Lunar Month         Wednesday                          
2094/8/12         2                       Thursday                           
2094/8/13         3                       Friday                             
2094/8/14         4                       Saturday                           
2094/8/15         5                       Sunday                             
2094/8/16         6                       Monday                             
2094/8/17         7                       Tuesday                            
2094/8/18         8                       Wednesday                          
2094/8/19         9                       Thursday                           
2094/8/20         10                      Friday                             
2094/8/21         11                      Saturday                           
2094/8/22         12                      Sunday         End of Heat         
2094/8/23         13                      Monday                             
2094/8/24         14                      Tuesday                            
2094/8/25         15                      Wednesday                          
2094/8/26         16                      Thursday                           
2094/8/27         17                      Friday                             
2094/8/28         18                      Saturday                           
2094/8/29         19                      Sunday                             
2094/8/30         20                      Monday                             
2094/8/31         21                      Tuesday                            
2094/9/1          22                      Wednesday                          
2094/9/2          23                      Thursday                           
2094/9/3          24                      Friday                             
2094/9/4          25                      Saturday                           
2094/9/5          26                      Sunday                             
2094/9/6          27                      Monday                             
2094/9/7          28                      Tuesday        White Dew           
2094/9/8          29                      Wednesday                          
2094/9/9          30                      Thursday                           
2094/9/10         8th Lunar Month         Friday                             
2094/9/11         2                       Saturday                           
2094/9/12         3                       Sunday                             
2094/9/13         4                       Monday                             
2094/9/14         5                       Tuesday                            
2094/9/15         6                       Wednesday                          
2094/9/16         7                       Thursday                           
2094/9/17         8                       Friday                             
2094/9/18         9                       Saturday                           
2094/9/19         10                      Sunday                             
2094/9/20         11                      Monday                             
2094/9/21         12                      Tuesday                            
2094/9/22         13                      Wednesday      Autumnal Equinox    
2094/9/23         14                      Thursday                           
2094/9/24         15                      Friday                             
2094/9/25         16                      Saturday                           
2094/9/26         17                      Sunday                             
2094/9/27         18                      Monday                             
2094/9/28         19                      Tuesday                            
2094/9/29         20                      Wednesday                          
2094/9/30         21                      Thursday                           
2094/10/1         22                      Friday                             
2094/10/2         23                      Saturday                           
2094/10/3         24                      Sunday                             
2094/10/4         25                      Monday                             
2094/10/5         26                      Tuesday                            
2094/10/6         27                      Wednesday                          
2094/10/7         28                      Thursday                           
2094/10/8         29                      Friday         Cold Dew            
2094/10/9         9th Lunar Month         Saturday                           
2094/10/10        2                       Sunday                             
2094/10/11        3                       Monday                             
2094/10/12        4                       Tuesday                            
2094/10/13        5                       Wednesday                          
2094/10/14        6                       Thursday                           
2094/10/15        7                       Friday                             
2094/10/16        8                       Saturday                           
2094/10/17        9                       Sunday                             
2094/10/18        10                      Monday                             
2094/10/19        11                      Tuesday                            
2094/10/20        12                      Wednesday                          
2094/10/21        13                      Thursday                           
2094/10/22        14                      Friday                             
2094/10/23        15                      Saturday       Frost               
2094/10/24        16                      Sunday                             
2094/10/25        17                      Monday                             
2094/10/26        18                      Tuesday                            
2094/10/27        19                      Wednesday                          
2094/10/28        20                      Thursday                           
2094/10/29        21                      Friday                             
2094/10/30        22                      Saturday                           
2094/10/31        23                      Sunday                             
2094/11/1         24                      Monday                             
2094/11/2         25                      Tuesday                            
2094/11/3         26                      Wednesday                          
2094/11/4         27                      Thursday                           
2094/11/5         28                      Friday                             
2094/11/6         29                      Saturday                           
2094/11/7         30                      Sunday         Winter Commences    
2094/11/8         10th Lunar Month        Monday                             
2094/11/9         2                       Tuesday                            
2094/11/10        3                       Wednesday                          
2094/11/11        4                       Thursday                           
2094/11/12        5                       Friday                             
2094/11/13        6                       Saturday                           
2094/11/14        7                       Sunday                             
2094/11/15        8                       Monday                             
2094/11/16        9                       Tuesday                            
2094/11/17        10                      Wednesday                          
2094/11/18        11                      Thursday                           
2094/11/19        12                      Friday                             
2094/11/20        13                      Saturday                           
2094/11/21        14                      Sunday                             
2094/11/22        15                      Monday         Light Snow          
2094/11/23        16                      Tuesday                            
2094/11/24        17                      Wednesday                          
2094/11/25        18                      Thursday                           
2094/11/26        19                      Friday                             
2094/11/27        20                      Saturday                           
2094/11/28        21                      Sunday                             
2094/11/29        22                      Monday                             
2094/11/30        23                      Tuesday                            
2094/12/1         24                      Wednesday                          
2094/12/2         25                      Thursday                           
2094/12/3         26                      Friday                             
2094/12/4         27                      Saturday                           
2094/12/5         28                      Sunday                             
2094/12/6         29                      Monday         Heavy Snow          
2094/12/7         30                      Tuesday                            
2094/12/8         11th Lunar Month        Wednesday                          
2094/12/9         2                       Thursday                           
2094/12/10        3                       Friday                             
2094/12/11        4                       Saturday                           
2094/12/12        5                       Sunday                             
2094/12/13        6                       Monday                             
2094/12/14        7                       Tuesday                            
2094/12/15        8                       Wednesday                          
2094/12/16        9                       Thursday                           
2094/12/17        10                      Friday                             
2094/12/18        11                      Saturday                           
2094/12/19        12                      Sunday                             
2094/12/20        13                      Monday                             
2094/12/21        14                      Tuesday        Winter Solstice     
2094/12/22        15                      Wednesday                          
2094/12/23        16                      Thursday                           
2094/12/24        17                      Friday                             
2094/12/25        18                      Saturday                           
2094/12/26        19                      Sunday                             
2094/12/27        20                      Monday                             
2094/12/28        21                      Tuesday                            
2094/12/29        22                      Wednesday                          
2094/12/30        23                      Thursday                           
2094/12/31        24                      Friday                             
