"","小区名","地区","道路","厅室","面积","层数","联系人","月租"
"59","鸿运大楼","福田-梅林","梅林路89号","1室1厅","25","3/13","熊瑜",1950
"60","梅兴苑南区","福田-梅林","西横街","1室1厅","22","11/21","游有盛",2800
"61","南海花园","南山-南油","东滨路","1室1厅","32","16/20","马莉娟",2800
"62","长乐花园","福田-百花","百花四路9号","1室1厅","26","11/18","张晓英",1900
"63","宝龙苑","罗湖-水库","太安路133号","1室1厅","42","6/17","林泽斯",3920
"64","玉翠新村","龙华-大浪","玉翠一路","1室1厅","42","6/12","万志琼",1600
"65","上早大厦","龙华-龙华中心区","恒兴路","1室1厅","10","23/27","李娟",1020
"66","东和花园","龙华-龙华中心区","和平路156号","1室1厅","11","14/27","李娟",1060
"67","槟榔园","南山-蛇口","工业九路28号","1室0厅","39","4/7","甘小军",4800
"68","泰安轩","福田-车公庙","泰然四路","1室1厅","39","13/30","黄丽露",1820
"69","高达苑","福田-梅林","下梅林一街","1室1厅","28","10/27","游有盛",1350
"70","南航明珠花园","宝安-西乡","航空路","1室1厅","43","10/16","潘耀栋",5990
"71","深港一号(皇御苑四期)","福田-皇岗","福田南路","1室1厅","42","13/32","沈婷",2950
"72","皇庭港湾","南山-后海","广东省深圳市南山区岸湾六街1","1室1厅","36","18/32","马莉娟",4030
"73","万科金色家园","福田-景田","莲花路2018号","1室1厅","40","2/7","林泽斯",3600
"74","时光里","龙岗-丹竹头","岭背路22号","1室0厅","49","18/30","蔡鸿镇",2800
"75","鸿海大厦","南山-南山中心","前海路1372号","1室1厅","33","15/31","赖圆媛",1980
"76","福隆大厦","宝安-宝安中心","宝安大道","1室1厅","22","24/31","居瑞端",1910
"77","华海公寓","福田-梅林","东梅园路34号","1室1厅","28","7/26","黄宝春",1860
"78","新活力花园","福田-梅林","梅林路128号","1室1厅","23","17/23","熊瑜",1840
"79","上梅林新村","福田-梅林","上梅林新村6号","1室1厅","23","13/22","熊瑜",4600
"80","泰华俊庭","宝安-宝安中心","自由路11号","1室1厅","44","5/32","黄舒婷",2050
"81","佳怡大厦","宝安-宝安中心","翻身路","1室1厅","23","9/22","于根",2710
"82","红树家邻","福田-上下沙","福荣路21号","1室0厅","17","2/19","高其阳",2760
"83","侨香雅居","福田-农科中心","安托山六路","1室1厅","30","15/28","高其阳",4500
"84","泰安轩","福田-车公庙","泰然四路","1室1厅","49","10/18","罗京",3800
"85","龙岸花园(金光华龙岸)","龙华-梅林关口","华南路","1室1厅","53","29/31","李锐雄",2300
"86","华侨新苑","深圳周边-惠州","龙丰路","1室1厅","45","5/13","朱贵芳",2800
"87","潜龙鑫茂花园(C区)","龙华-梅林关口","民丰路","1室1厅","40","3/13","龙惠",1480
"88","玉翠新村","龙华-大浪","玉翠一路","1室0厅","25","3/12","杨泽均",4500
"89","花样年华","深圳周边-东莞","东城中路","1室1厅","40","17/20","方栋",2740
"90","祠堂村","福田-新洲","新南街","1室1厅","30","20/24","高其阳",4388
"91","京基凤凰印象","罗湖-怡景","凤凰路181号","1室1厅","45","28/31","涂远智",4600
"92","梅兴苑南区","福田-梅林","西横街","1室1厅","22","11/21","游有盛",1990
"93","百仕达花园四期","罗湖-水库","太宁路","1室1厅","45","30/32","刘滨",4400
"94","华南城青创+","龙岗-平湖","平安大道","1室1厅","50","13/27","许茂林",1800
"95","京基凤凰印象","罗湖-怡景","凤凰路181号","1室1厅","41","16/31","曾杰唯",4800
"96","嘉庭苑","南山-南头","泉园路32号","1室1厅","31","20/25","姚瑶",2750
"97","宏发嘉域","光明-公明","松白路","1室1厅","54","12/28","霍俊杰",2000
"98","华润深圳湾悦府一期","南山-后海","滨海大道","1室1厅","108","30/42","梅路如",18999
"99","潜龙曼海宁(北区)","龙华-民治","和平路","1室1厅","48","13/32","黄回",4300
"100","葵花公寓","福田-石厦","石厦北一街16号","1室1厅","72","15/42","林泽腾",8800
"101","星河世纪大厦","福田-福田中心","彩田路","1室1厅","48","7/32","郑树芬",6300
"102","梅林华景花园","福田-梅林","梅华路","1室1厅","23","12/20","熊瑜",1900
"103","幸福华府","罗湖-蔡屋围","宝安南路","1室0厅","45","23/40","魏俊",4600
"104","天心花园","福田-梅林","梅华路221号","1室1厅","22","21/32","游有盛",1840
"105","城市印象","南山-南油","海德三道202号","1室1厅","36","20/31","赖圆媛",3090
"106","银海苑","福田-梅林","梅东二路9号","1室1厅","25","6/27","游有盛",2010
"107","百仕达花园(三期)","罗湖-布心","太白路","1室1厅","45","22/32","郑富强",4500
"108","信义御城(二期)","龙岗-横岗","龙岗大道","1室1厅","30","1/29","段少英",2100
"109","鹏盛年华","福田-八卦岭","八卦一路","1室1厅","16","19/26","夏天旭",2460
"110","蔚蓝海岸(四期)","南山-后海","登良路","1室1厅","28","7/26","马莉娟",2860
"111","鸿威海怡湾畔花园","南山-后海","中心路1088号","1室1厅","33","13/27","马莉娟",2700
"112","祥云天都世纪","福田-新洲","新洲三街15号","1室1厅","50","22/32","叶冬秀",5000
"113","金地龙城中央","龙岗-龙岗中心城","龙城大道","1室1厅","43","18/42","余智",2900
"114","依云伴山","南山-前海","前海路0199号","1室1厅","26","8/24","赖圆媛",2530
"115","汇一城","深圳周边-惠州","府东北街","1室0厅","70","5/6","刘小红",1980
"116","红梅苑","福田-梅林","西横街133号","1室1厅","26","20/25","熊瑜",2030
"117","恒盛居","福田-梅林","新洲路","1室1厅","25","10/29","游有盛",1970
"118","星河传奇","龙华-民治","民塘路","1室1厅","53","20/33","李琼",4300
"119","万象新园","南山-南山中心","南光路67号","1室1厅","45","13/33","曹子聪",5200
"120","香缤时代","深圳周边-东莞","东城中路","1室1厅","42","17/31","邓姝昕",4300
"121","云栖西岸阁","南山-前海","学府路350号","1室1厅","31","21/32","赖圆媛",2780
"122","京基凤凰印象","罗湖-怡景","凤凰路181号","1室1厅","45","28/31","涂远智",4800
"123","金地龙城中央","龙岗-龙岗中心城","龙城大道","1室1厅","43","18/42","余智",2900
"124","依云伴山","南山-前海","前海路0199号","1室1厅","26","8/24","赖圆媛",2530
"125","梅林阁","福田-梅林","梅林路","1室1厅","22","18/25","游有盛",1910
"126","星河传奇","龙华-民治","民塘路","1室1厅","53","20/33","李琼",4300
"127","星座传奇","福田-石厦","石厦北八街3号","1室1厅","44","33/33","张钰",6400
"128","万象新园","南山-南山中心","南光路67号","1室1厅","45","13/33","曹子聪",5200
"129","东乐花园","罗湖-水库","太安路","1室1厅","45","5/13","唐利兵",2500
"130","先科机电大厦","福田-八卦岭","八卦四路2号","1室1厅","17","14/31","夏天旭",2510
"131","上梅林综合楼","福田-梅林","西横街29号","1室1厅","26","8/28","熊瑜",1900
"132","久商大厦","南山-南头","南山大道3003号","1室1厅","28","22/23","董永",3020
"133","东方美地苑","南山-南头","关口路46号","1室1厅","35","6/7","王善国",3500
"134","阳光天健城","龙岗-大运","沙园路76号","1室0厅","36","18/27","董亮",2800
"135","大冲新城花园","南山-科技园","科发路","1室1厅","50","15/39","张捍绮",5500
"136","长乐花园","福田-百花","百花四路9号","1室1厅","27","3/29","赖圆媛",1900
"137","深业东岭","罗湖-怡景","沿河北路","1室1厅","45","41/45","郑俊华",5000
"138","宏发嘉域","光明-公明","松白路","1室1厅","54","12/28","霍俊杰",2000
"139","瑞泽佳园","龙岗-横岗","浦厦路97号","1室1厅","29","2/29","段少英",1980
"140","梅村楼","福田-梅林","上梅林新村18-1号","1室1厅","23","9/31","游有盛",1900
"141","深港一号(皇御苑四期)","福田-皇岗","福田南路","1室1厅","42","13/32","沈婷",5990
"142","栖游记","南山-蛇口","后海大道","1室1厅","45","6/10","吴艳",4200
"143","松坪村梅苑","南山-科技园","松坪山路14号","1室1厅","31","13/31","姚瑶",2590
"144","佳兆业大都汇","龙岗-布吉","龙岗大道","1室1厅","45","20/33","唐湘文",2600
"145","领丽花园(中信领航城三期)","宝安-西乡","航空路","1室2厅","53","2/30","刘秀",3300
"146","后海第二统建楼","南山-南油","华明路21号","1室1厅","37","16/25","马莉娟",3370
"147","荔林春晓","南山-南山中心","南山大道2118号","1室1厅","30","18/29","董永",2960
"148","时光里","龙岗-丹竹头","岭背路22号","1室2厅","55","11/36","韦建许",3500
"149","绿海名苑","宝安-西乡","西乡大道270号","1室1厅","130","5/13","詹琪",6800
"150","蔚蓝海岸(四期)","南山-后海","登良路","1室1厅","28","7/26","马莉娟",2860
"151","葵花公寓","福田-石厦","石厦北一街16号","1室1厅","60","17/31","杨洋",8000
"152","易达大厦","宝安-宝安中心","创业路","1室1厅","24","16/24","于根",1950
"153","玉翠新村","龙华-大浪","玉翠一路","1室1厅","42","6/12","万志琼",1600
"154","苹果园","龙华-民治","龙胜路","1室1厅","42","14/17","冯振月",3500
"155","上梅林新村","福田-梅林","上梅林新村6号","1室1厅","23","13/22","熊瑜",1840
"156","马家龙小区","南山-南头","艺园路83号","1室1厅","38","25/26","董永",2930
"157","松坪山单身公寓","南山-科技园","朗康路1号","1室0厅","32","5/7","文杰",1940
"158","鸿运大楼","福田-梅林","梅林路89号","1室1厅","26","2/12","游有盛",2600
"159","七街公馆|哈尔滨大厦","福田-景田","北环大道7045号","1室1厅","45","15/33","肖中亮",1930
"160","深蓝公寓","南山-南油","南商路91号","1室1厅","39","30/32","肖遥",5600
"161","荔园阁二期","福田-梅林","西横街","1室1厅","22","15/25","游有盛",4800
"162","天健时尚空间","宝安-宝安中心","海秀路18号","1室2厅","47","20/26","颜翠枝",1920
"163","深新大厦","福田-梅林","梅观路5号","1室1厅","21","20/24","熊瑜",5500
"164","麟恒中心广场二期","龙岗-横岗","龙岗大道","1室1厅","28","1/29","段少英",1910
"165","泰安轩","福田-车公庙","泰然四路","1室1厅","49","11/18","罗京",2090
"166","大冲新城花园","南山-科技园","科发路","1室1厅","50","22/44","钟冬庆",4600
"167","时光里","龙岗-丹竹头","岭背路22号","1室1厅","48","18/36","韦建许",6300
"168","京基御景华城","福田-赤尾","滨河大道3001号","1室1厅","28","14/35","沈婷",3300
"169","福围雅苑","宝安-宝安机场","福围路","1室0厅","16","13/28","董永红",4190
"170","恒盛居","福田-梅林","新洲路","1室1厅","25","10/29","游有盛",2020
"171","高达苑","福田-梅林","下梅林一街","1室1厅","24","11/28","游有盛",1970
"172","高达苑","福田-梅林","下梅林一街","1室1厅","12","2/16","黄宝春",1910
"173","中信花园","南山-华侨城","新中路33号","1室1厅","38","11/26","段少英",2190
"174","龙军花园","龙华-大浪","和平路,近福龙路","1室1厅","45","23/29","陈欢",2340
"175","华侨城华寓","宝安-宝安中心","海天路21号","1室2厅","95","20/30","颜翠枝",2300
"176","都市阳光名苑","福田-车公庙","深南大道6017号","1室1厅","105","25/32","杨小霞",8000
"177","阳光新居","龙岗-布吉","长龙路128-1号","1室1厅","15","2/19","王宝鑫",12000
"178","花园城(三期)","南山-蛇口","南海大道","1室1厅","65","9/16","朱宝",2055
"179","锦冠华城(雅景苑二期)","龙岗-横岗","红棉一路","1室1厅","30","2/30","段少英",6600
"180","银华大厦","福田-笔架山","福田区槟榔道20号","1室1厅","14","1/14","王敏",1573
"181","华润深圳湾悦府一期","南山-后海","滨海大道","1室1厅","108","30/40","王瑞凯",22000
"182","梅安居","福田-梅林","黄祠街81号","1室1厅","22","10/26","黄宝春",1910
"183","南天一花园","福田-百花","百花三路2号","1室1厅","27","1/27","段少英",1930
"184","中康生活区","福田-梅林","梅林路58号","1室1厅","26","20/24","熊瑜",2000
"185","海景商务公寓","福田-竹子林","紫竹六道64号","1室1厅","47","15/34","杨宽宽",6200
"186","鸿盛御景","龙华-龙华区政府","大浪北路36号","1室0厅","28","2/10","童欣",1280
"187","幸福城公寓","龙华-清湖","清泉路,近和平路","1室2厅","53","25/31","张文",4000
"188","信义湛宝广场","龙岗-横岗","康乐路","1室1厅","26","2/28","段少英",1870
"189","前海壹号","南山-前海","梦海大道","1室2厅","91","23/26","谢益鸿",8000
"190","新天石厦花园","福田-石厦","石厦二街,近石厦路","1室0厅","35","10/12","吴丽琴",4199
"191","水畔紫云阁","福田-赤尾","畔水路6号","1室1厅","52","3/30","蔡鸿镇",4500
"192","银华大厦","福田-笔架山","福田区槟榔道20号","1室1厅","13","2/12","王敏",1708
"193","长城一花园","福田-百花","百花四路2号","1室1厅","13","2/12","王敏",1717
"194","天源梅林居","福田-梅林","黄祠巷48号","1室1厅","21","17/28","黄宝春",1930
"195","名门世家","龙岗-横岗","龙岗大道","1室1厅","29","1/33","马莉娟",2510
"196","天骄华庭","南山-后海","工业八路123号","1室1厅","25","25/31","熊瑜",2070
"197","孖岭住宅楼","福田-梅林","梅华路","1室1厅","36","7/7","李素珍",3400
"198","嘉隆公寓","南山-南头","大新路188号","1室1厅","32","11/32","瞿小芳",4300
"199","合正锦湖逸园","罗湖-洪湖","洪湖一街21号","1室0厅","33","23/26","何卫林",2780
"200","中航凯特公寓","罗湖-蔡屋围","宝安南路3019号","1室1厅","46","5/16","李晓丹",1800
"201","东津名座","坪山-坪山","横坪公路","1室1厅","45","18/30","葛昊",3500
"202","德润荣君府","龙岗-坂田","布龙路","1室1厅","41","8/28","朱海军",2500
"203","新地中央","光明-光明","光明大道","1室2厅","66","12/30","杨军祥",5100
"204","星河传奇","龙华-民治","民塘路","1室1厅","38","12/22","周洋",3300
"205","鹏益花园","福田-八卦岭","八卦一路183号","1室1厅","17","3/20","居瑞端",2080
"206","阳光新居","龙岗-布吉","长龙路128-1号","1室1厅","25","1/29","陈金星",5500
"207","锦冠华城(雅景苑二期)","龙岗-横岗","红棉一路","1室1厅","47","7/33","杨宽宽",4800
"208","海景商务公寓","福田-竹子林","紫竹六道64号","1室1厅","45","6/8","徐海飞",2660
"209","金地海景花园A区","福田-新洲","金地一路","1室1厅","32","23/30","姚瑶",1890
"210","特发信息科技园翠岭居","南山-科技园","科丰路4号","1室1厅","20","11/22","游有盛",1980
"211","华港公寓","福田-梅林","北环大道7014号","1室0厅","70","5/6","刘小红",1960
"212","汇一城","深圳周边-惠州","府东北街","1室1厅","24","11/29","熊瑜",2070
"213","颂德花园(颂德国际)","福田-梅林","下梅林二街6号","1室1厅","21","11/26","熊瑜",1300
"214","梅林街道办综合楼","福田-梅林","梅华路124号","1室1厅","38","5/16","潘耀栋",2450
"215","万象新天二期","宝安-西乡","固戍二路","1室0厅","18","12/23","高其阳",4888
"216","荔树人家","福田-上下沙","福强路32号","1室1厅","40","2/7","甘小军",4800
"217","槟榔园","南山-蛇口","工业九路28号","1室1厅","39","13/30","黄丽露",5300
"218","泰安轩","福田-车公庙","泰然四路","1室1厅","40","28/38","赵霖",1850
"219","大冲新城花园","南山-科技园","科发路","1室1厅","24","16/21","游有盛",5700
"220","华天公寓","福田-梅林","林园东路32号","1室1厅","47","12/37","曾彪",2540
"221","侨香公馆","福田-农科中心","侨香路3038号","1室1厅","28","20/30","赖圆媛",6300
"222","太子苑","南山-前海","沿湖路17号","1室1厅","38","5/26","朱利均",2075
"223","金地国际公寓","南山-科技园","高新南十道","1室1厅","16","2/19","王宝鑫",1800
"224","翠隆花园","龙岗-布吉","布龙路","1室1厅","40","5/12","伍凯浅",3200
"225","玉翠新村","龙华-大浪","玉翠一路","1室0厅","32","8/14","林泽斯",2900
"226","金泰名苑","罗湖-水库","太宁路18号","1室1厅","51","18/26","王晓斌",3000
"227","星河智荟","龙岗-横岗","龙岗大道","1室0厅","38","12/21","高小况",2200
"228","万科城","龙岗-坂田","坂雪岗大道","1室0厅","47","5/18","温美强",2890
"229","KPR佳兆业广场","龙岗-大鹏","迎宾路","1室0厅","16","7/29","高其阳",1500
"230","沙尾机楼","福田-新洲","沙嘴路36号","1室0厅","17","5/6","向露露",2060
"231","流塘路4-7号小区","宝安-西乡","流塘路4-7号","1室1厅","26","1/28","陈金星",2600
"232","恒地悦山湖花园","龙岗-横岗","横一路","1室1厅","38","8/13","甘满玉",2600
"233","宝星智荟城(商住楼)","宝安-桃源居","洲石路,近前进二路","1室0厅","32","5/7","姚明君",4571
"234","松坪山单身公寓","南山-科技园","朗康路1号","1室0厅","39","7/7","甘小军",2800
"235","槟榔园","南山-蛇口","工业九路28号","1室0厅","16","13/31","高其阳",4300
"236","荔树人家","福田-上下沙","福强路32号","1室0厅","51","24/25","陈宝才",2055
"237","星河盛世","龙华-梅林关口","梅龙大道","1室1厅","56","25/40","骆小霞",1800
"238","光明峰荟","光明-公明","深阳路","1室1厅","28","13/32","熊瑜",2290
"239","天健花园","福田-景田","景田北六街2号","1室1厅","41","12/32","王旭邨",2600
"240","赛格新城市广场","龙岗-丹竹头","布龙路18号","1室1厅","12","2/12","王敏",1595
"241","松坪山单身公寓","南山-科技园","朗康路1号","1室0厅","32","5/7","姚明君",2600
"242","阳光新居","龙岗-布吉","长龙路128-1号","1室1厅","15","1/18","何叶珍",2055
"243","宝星智荟城(商住楼)","宝安-桃源居","洲石路,近前进二路","1室1厅","38","12/14","易嘉亮",3300
"244","天健花园","福田-景田","景田北六街2号","1室1厅","28","13/32","熊瑜",2290
"245","赛格新城市广场","龙岗-丹竹头","布龙路18号","1室1厅","41","12/32","王旭邨",2600
"246","槟榔园","南山-蛇口","工业九路28号","1室0厅","39","1/7","邱旭聪",4588
"247","深蓝公寓","南山-南油","南商路91号","1室1厅","39","30/32","肖遥",4800
"248","工商银行职工公寓","福田-百花","百花二路28号","1室1厅","12","2/12","王敏",1595
"249","布龙城","龙岗-丹竹头","布龙路20号","1室1厅","26","13/20","张晓英",1900
"250","深新大厦","福田-梅林","梅观路5号","1室1厅","15","2/18","王宝鑫",1935
"251","汇一城","深圳周边-惠州","府东北街","1室1厅","23","17/21","游有盛",1940
"252","祥云天都世纪","福田-新洲","新洲三街15号","1室0厅","70","5/6","刘小红",1980
"253","彩天名苑","福田-岗厦","彩田路","1室0厅","34","13/32","王红锋",4500
"254","侨城馨苑","南山-华侨城","香山西街101号","1室1厅","36","19/32","程放",4000
"255","翠枫豪园","龙岗-布吉","华龙路","1室2厅","66","18/30","曹慧",7000
"256","长坑小区","龙岗-坂田","布龙路","1室1厅","15","2/18","王宝鑫",1930
"257","中爱花园","南山-桃源村","龙珠七路40号","1室1厅","30","2/5","刘圆",1500
"258","名门世家","龙岗-横岗","龙岗大道","1室1厅","49","8/15","杨现勇",4750
"259","共和花园","龙华-龙华中心区","东环一路","1室1厅","15","2/12","王敏",1930
"260","葵花公寓","福田-石厦","石厦北一街16号","1室1厅","26","10/28","陈金星",1580
"261","红树家邻","福田-上下沙","福荣路21号","1室0厅","28","5/9","孙文杰",8000
"262","特发信息科技园翠岭居","南山-科技园","科丰路4号","1室1厅","60","17/31","李主玉",2710
"263","雅仕荔景苑","南山-南油","南海大道2502号","1室0厅","17","2/19","高其阳",2660
"264","福隆大厦","宝安-宝安中心","宝安大道","1室1厅","32","23/30","姚瑶",4500
"265","银海苑","福田-梅林","梅东二路9号","1室1厅","37","22/31","张维",1980
"266","七街公馆|哈尔滨大厦","福田-景田","北环大道7045号","1室1厅","22","24/31","居瑞端",2080
"267","颂德花园(颂德国际)","福田-梅林","下梅林二街6号","1室1厅","30","2/30","段少英",1840
"268","合正园","福田-梅林","梅华路181号","1室1厅","24","12/33","熊瑜",4800
"269","联城美园","罗湖-国贸","新安路59号","1室1厅","43","16/33","陈东耀",1860
"270","天健时尚空间","宝安-宝安中心","海秀路18号","1室1厅","22","12/30","游有盛",1930
"271","KPR佳兆业广场","龙岗-大鹏","迎宾路","1室1厅","24","18/21","游有盛",4200
"272","时光里","龙岗-丹竹头","岭背路22号","1室1厅","36","13/35","陈明发",5500
"273","大南山紫园","南山-前海","沿山路29号","1室1厅","47","12/21","颜翠枝",2200
"274","梅安居","福田-梅林","黄祠街81号","1室0厅","47","5/18","温美强",3300
"275","华润深圳湾悦府一期","南山-后海","滨海大道","1室1厅","48","18/36","韦建许",2690
"276","槟榔园","南山-蛇口","工业九路28号","1室1厅","29","15/27","赖圆媛",1950
"277","深蓝公寓","南山-南油","南商路91号","1室1厅","24","15/31","熊瑜",21000
"278","天宝物华","福田-农科中心","丰田路3号","1室1厅","108","30/42","宋攀峰",4200
"279","幸福华府","罗湖-蔡屋围","宝安南路","1室0厅","39","4/7","甘小军",3800
"280","星座传奇","福田-石厦","石厦北八街3号","1室0厅","26","16/32","张维",8000
"281","荔苑小区","深圳周边-惠州","西堤路28号","1室1厅","51","12/30","王杰",4000
"282","华润深圳湾悦府一期","南山-后海","滨海大道","1室0厅","41","7/39","叶祖政",6400
"283","园岭新村","福田-园岭","笋岗西路2057号","1室1厅","44","33/33","张钰",3380
"284","绿化大厦","福田-梅林","环林街2号","1室1厅","34","10/21","董永",18999
"285","锦冠华城(雅景苑二期)","龙岗-横岗","红棉一路","1室1厅","108","30/42","梅路如",4200
"286","汇泰大厦","罗湖-人民南","沿河南路","1室1厅","45","1/7","张永增",2010
"287","时光里","龙岗-丹竹头","岭背路22号","1室1厅","19","7/23","游有盛",5000
"288","康佳苑","南山-华侨城","汕头路8号","1室1厅","25","1/29","陈金星",3500
"289","梅林华景花园","福田-梅林","梅华路","1室2厅","47","8/30","刘冲",6000
"290","荔苑小区","深圳周边-惠州","西堤路28号","1室2厅","55","11/36","韦建许",1900
"291","信义御城(二期)","龙岗-横岗","龙岗大道","1室1厅","65","8/16","曾顺惠",3210
"292","中南明珠大厦","龙岗-布吉","吉华路242号","1室1厅","23","12/20","熊瑜",1960
"293","星河世纪大厦","福田-福田中心","彩田路","1室1厅","37","14/21","雷浩",1995
"294","东滨华苑","南山-南油","东滨路3010号","1室1厅","26","1/27","陈金星",6300
"295","祥云天都世纪","福田-新洲","新洲三街15号","1室1厅","18","2/19","王宝鑫",3340
"296","佳兆业大都汇","龙岗-布吉","龙岗大道","1室1厅","42","15/32","程放",5000
"297","槟榔园","南山-蛇口","工业九路28号","1室1厅","36","20/24","马莉娟",2600
"298","长城一花园","福田-百花","百花四路2号","1室1厅","45","30/33","唐湘文",4571
"299","银华大厦","福田-笔架山","福田区槟榔道20号","1室1厅","48","16/32","王红锋",1560
"300","南天一花园","福田-百花","百花三路2号","1室1厅","45","20/33","唐湘文",1573
"301","长城一花园","福田-百花","百花四路2号","1室1厅","12","2/12","何玮",1636
"302","美丽家园北区","龙华-龙华中心区","东环二路","1室1厅","45","12/27","董亮",3000
"303","阳光天健城","龙岗-大运","沙园路76号","1室1厅","14","2/12","王敏",1780
"304","南天一花园","福田-百花","百花三路2号","1室1厅","38","17/31","苏俊宇",6200
"305","深蓝公寓","南山-南油","南商路91号","1室1厅","27","16/23","赖圆媛",1900
