Gregorian-Lunar Calendar Conversion Table of 2038 (Wu-wu  -  year of the Horse)
2038/8/11         11                      Wednesday                          
2038/8/12         12                      Thursday                           
2038/8/13         13                      Friday                             
2038/8/14         14                      Saturday                           
2038/8/15         15                      Sunday                             
2038/8/16         16                      Monday                             
2038/8/17         17                      Tuesday                            
2038/8/18         18                      Wednesday                          
2038/8/19         19                      Thursday                           
2038/8/20         20                      Friday                             
2038/8/21         21                      Saturday                           
2038/8/22         22                      Sunday                             
2038/8/23         23                      Monday         End of Heat         
2038/8/24         24                      Tuesday                            
2038/8/25         25                      Wednesday                          
2038/8/26         26                      Thursday                           
2038/8/27         27                      Friday                             
2038/8/28         28                      Saturday                           
2038/8/29         29                      Sunday                             
2038/8/30         8th Lunar Month         Monday                             
2038/8/31         2                       Tuesday                            
2038/9/1          3                       Wednesday                          
2038/9/2          4                       Thursday                           
2038/9/3          5                       Friday                             
2038/9/4          6                       Saturday                           
2038/9/5          7                       Sunday                             
2038/9/6          8                       Monday                             
2038/9/7          9                       Tuesday        White Dew           
2038/9/8          10                      Wednesday                          
2038/9/9          11                      Thursday                           
2038/9/10         12                      Friday                             
2038/9/11         13                      Saturday                           
2038/9/12         14                      Sunday                             
2038/9/13         15                      Monday                             
2038/9/14         16                      Tuesday                            
2038/9/15         17                      Wednesday                          
2038/9/16         18                      Thursday                           
2038/9/17         19                      Friday                             
2038/9/18         20                      Saturday                           
2038/9/19         21                      Sunday                             
2038/9/20         22                      Monday                             
2038/9/21         23                      Tuesday                            
2038/9/22         24                      Wednesday                          
2038/9/23         25                      Thursday       Autumnal Equinox    
2038/9/24         26                      Friday                             
2038/9/25         27                      Saturday                           
2038/9/26         28                      Sunday                             
2038/9/27         29                      Monday                             
2038/9/28         30                      Tuesday                            
2038/9/29         9th Lunar Month         Wednesday                          
2038/9/30         2                       Thursday                           
2038/10/1         3                       Friday                             
2038/10/2         4                       Saturday                           
2038/10/3         5                       Sunday                             
2038/10/4         6                       Monday                             
2038/10/5         7                       Tuesday                            
2038/10/6         8                       Wednesday                          
2038/10/7         9                       Thursday                           
2038/10/8         10                      Friday         Cold Dew            
2038/10/9         11                      Saturday                           
2038/10/10        12                      Sunday                             
2038/10/11        13                      Monday                             
2038/10/12        14                      Tuesday                            
2038/10/13        15                      Wednesday                          
2038/10/14        16                      Thursday                           
2038/10/15        17                      Friday                             
2038/10/16        18                      Saturday                           
2038/10/17        19                      Sunday                             
2038/10/18        20                      Monday                             
2038/10/19        21                      Tuesday                            
2038/10/20        22                      Wednesday                          
2038/10/21        23                      Thursday                           
2038/10/22        24                      Friday                             
2038/10/23        25                      Saturday       Frost               
2038/10/24        26                      Sunday                             
2038/10/25        27                      Monday                             
2038/10/26        28                      Tuesday                            
2038/10/27        29                      Wednesday                          
2038/10/28        10th Lunar Month        Thursday                           
2038/10/29        2                       Friday                             
2038/10/30        3                       Saturday                           
2038/10/31        4                       Sunday                             
2038/11/1         5                       Monday                             
2038/11/2         6                       Tuesday                            
2038/11/3         7                       Wednesday                          
2038/11/4         8                       Thursday                           
2038/11/5         9                       Friday                             
2038/11/6         10                      Saturday                           
2038/11/7         11                      Sunday         Winter Commences    
2038/11/8         12                      Monday                             
2038/11/9         13                      Tuesday                            
2038/11/10        14                      Wednesday                          
2038/11/11        15                      Thursday                           
2038/11/12        16                      Friday                             
2038/11/13        17                      Saturday                           
2038/11/14        18                      Sunday                             
2038/11/15        19                      Monday                             
2038/11/16        20                      Tuesday                            
2038/11/17        21                      Wednesday                          
2038/11/18        22                      Thursday                           
2038/11/19        23                      Friday                             
2038/11/20        24                      Saturday                           
2038/11/21        25                      Sunday                             
2038/11/22        26                      Monday         Light Snow          
2038/11/23        27                      Tuesday                            
2038/11/24        28                      Wednesday                          
2038/11/25        29                      Thursday                           
2038/11/26        11th Lunar Month        Friday                             
2038/11/27        2                       Saturday                           
2038/11/28        3                       Sunday                             
2038/11/29        4                       Monday                             
2038/11/30        5                       Tuesday                            
2038/12/1         6                       Wednesday                          
2038/12/2         7                       Thursday                           
2038/12/3         8                       Friday                             
2038/12/4         9                       Saturday                           
2038/12/5         10                      Sunday                             
2038/12/6         11                      Monday                             
2038/12/7         12                      Tuesday        Heavy Snow          
2038/12/8         13                      Wednesday                          
2038/12/9         14                      Thursday                           
2038/12/10        15                      Friday                             
2038/12/11        16                      Saturday                           
2038/12/12        17                      Sunday                             
2038/12/13        18                      Monday                             
2038/12/14        19                      Tuesday                            
2038/12/15        20                      Wednesday                          
2038/12/16        21                      Thursday                           
2038/12/17        22                      Friday                             
2038/12/18        23                      Saturday                           
2038/12/19        24                      Sunday                             
2038/12/20        25                      Monday                             
2038/12/21        26                      Tuesday                            
2038/12/22        27                      Wednesday      Winter Solstice     
2038/12/23        28                      Thursday                           
2038/12/24        29                      Friday                             
2038/12/25        30                      Saturday                           
2038/12/26        12th Lunar Month        Sunday                             
2038/12/27        2                       Monday                             
2038/12/28        3                       Tuesday                            
2038/12/29        4                       Wednesday                          
2038/12/30        5                       Thursday                           
2038/12/31        6                       Friday                             
