Gregorian-Lunar Calendar Conversion Table of 2046 (Bing-yin  -  year of the Tiger)
2046/8/14         13                      Tuesday                            
2046/8/15         14                      Wednesday                          
2046/8/16         15                      Thursday                           
2046/8/17         16                      Friday                             
2046/8/18         17                      Saturday                           
2046/8/19         18                      Sunday                             
2046/8/20         19                      Monday                             
2046/8/21         20                      Tuesday                            
2046/8/22         21                      Wednesday                          
2046/8/23         22                      Thursday       End of Heat         
2046/8/24         23                      Friday                             
2046/8/25         24                      Saturday                           
2046/8/26         25                      Sunday                             
2046/8/27         26                      Monday                             
2046/8/28         27                      Tuesday                            
2046/8/29         28                      Wednesday                          
2046/8/30         29                      Thursday                           
2046/8/31         30                      Friday                             
2046/9/1          8th Lunar Month         Saturday                           
2046/9/2          2                       Sunday                             
2046/9/3          3                       Monday                             
2046/9/4          4                       Tuesday                            
2046/9/5          5                       Wednesday                          
2046/9/6          6                       Thursday                           
2046/9/7          7                       Friday         White Dew           
2046/9/8          8                       Saturday                           
2046/9/9          9                       Sunday                             
2046/9/10         10                      Monday                             
2046/9/11         11                      Tuesday                            
2046/9/12         12                      Wednesday                          
2046/9/13         13                      Thursday                           
2046/9/14         14                      Friday                             
2046/9/15         15                      Saturday                           
2046/9/16         16                      Sunday                             
2046/9/17         17                      Monday                             
2046/9/18         18                      Tuesday                            
2046/9/19         19                      Wednesday                          
2046/9/20         20                      Thursday                           
2046/9/21         21                      Friday                             
2046/9/22         22                      Saturday                           
2046/9/23         23                      Sunday         Autumnal Equinox    
2046/9/24         24                      Monday                             
2046/9/25         25                      Tuesday                            
2046/9/26         26                      Wednesday                          
2046/9/27         27                      Thursday                           
2046/9/28         28                      Friday                             
2046/9/29         29                      Saturday                           
2046/9/30         9th Lunar Month         Sunday                             
2046/10/1         2                       Monday                             
2046/10/2         3                       Tuesday                            
2046/10/3         4                       Wednesday                          
2046/10/4         5                       Thursday                           
2046/10/5         6                       Friday                             
2046/10/6         7                       Saturday                           
2046/10/7         8                       Sunday                             
2046/10/8         9                       Monday         Cold Dew            
2046/10/9         10                      Tuesday                            
2046/10/10        11                      Wednesday                          
2046/10/11        12                      Thursday                           
2046/10/12        13                      Friday                             
2046/10/13        14                      Saturday                           
2046/10/14        15                      Sunday                             
2046/10/15        16                      Monday                             
2046/10/16        17                      Tuesday                            
2046/10/17        18                      Wednesday                          
2046/10/18        19                      Thursday                           
2046/10/19        20                      Friday                             
2046/10/20        21                      Saturday                           
2046/10/21        22                      Sunday                             
2046/10/22        23                      Monday                             
2046/10/23        24                      Tuesday        Frost               
2046/10/24        25                      Wednesday                          
2046/10/25        26                      Thursday                           
2046/10/26        27                      Friday                             
2046/10/27        28                      Saturday                           
2046/10/28        29                      Sunday                             
2046/10/29        10th Lunar Month        Monday                             
2046/10/30        2                       Tuesday                            
2046/10/31        3                       Wednesday                          
2046/11/1         4                       Thursday                           
2046/11/2         5                       Friday                             
2046/11/3         6                       Saturday                           
2046/11/4         7                       Sunday                             
2046/11/5         8                       Monday                             
2046/11/6         9                       Tuesday                            
2046/11/7         10                      Wednesday      Winter Commences    
2046/11/8         11                      Thursday                           
2046/11/9         12                      Friday                             
2046/11/10        13                      Saturday                           
2046/11/11        14                      Sunday                             
2046/11/12        15                      Monday                             
2046/11/13        16                      Tuesday                            
2046/11/14        17                      Wednesday                          
2046/11/15        18                      Thursday                           
2046/11/16        19                      Friday                             
2046/11/17        20                      Saturday                           
2046/11/18        21                      Sunday                             
2046/11/19        22                      Monday                             
2046/11/20        23                      Tuesday                            
2046/11/21        24                      Wednesday                          
2046/11/22        25                      Thursday       Light Snow          
2046/11/23        26                      Friday                             
2046/11/24        27                      Saturday                           
2046/11/25        28                      Sunday                             
2046/11/26        29                      Monday                             
2046/11/27        30                      Tuesday                            
2046/11/28        11th Lunar Month        Wednesday                          
2046/11/29        2                       Thursday                           
2046/11/30        3                       Friday                             
2046/12/1         4                       Saturday                           
2046/12/2         5                       Sunday                             
2046/12/3         6                       Monday                             
2046/12/4         7                       Tuesday                            
2046/12/5         8                       Wednesday                          
2046/12/6         9                       Thursday                           
2046/12/7         10                      Friday         Heavy Snow          
2046/12/8         11                      Saturday                           
2046/12/9         12                      Sunday                             
2046/12/10        13                      Monday                             
2046/12/11        14                      Tuesday                            
2046/12/12        15                      Wednesday                          
2046/12/13        16                      Thursday                           
2046/12/14        17                      Friday                             
2046/12/15        18                      Saturday                           
2046/12/16        19                      Sunday                             
2046/12/17        20                      Monday                             
2046/12/18        21                      Tuesday                            
2046/12/19        22                      Wednesday                          
2046/12/20        23                      Thursday                           
2046/12/21        24                      Friday                             
2046/12/22        25                      Saturday       Winter Solstice     
2046/12/23        26                      Sunday                             
2046/12/24        27                      Monday                             
2046/12/25        28                      Tuesday                            
2046/12/26        29                      Wednesday                          
2046/12/27        12th Lunar Month        Thursday                           
2046/12/28        2                       Friday                             
2046/12/29        3                       Saturday                           
2046/12/30        4                       Sunday                             
2046/12/31        5                       Monday                             
